County,Year,UnemploymentRate
Buffalo City,2017,0.06752411575562701
Buffalo-Niagara Falls Metro Area,1990,0.05321002166923959
Buffalo-Niagara Falls Metro Area,1991,0.07063998864765149
Buffalo-Niagara Falls Metro Area,1992,0.07475080694470118
Buffalo-Niagara Falls Metro Area,1993,0.06763534974633151
Buffalo-Niagara Falls Metro Area,1994,0.06064270905321355
Buffalo-Niagara Falls Metro Area,1995,0.05365118032596717
Buffalo-Niagara Falls Metro Area,1996,0.05069396452430316
Buffalo-Niagara Falls Metro Area,1997,0.05303158967391304
Buffalo-Niagara Falls Metro Area,1998,0.05377339676932281
Buffalo-Niagara Falls Metro Area,1999,0.05316510454217736
Buffalo-Niagara Falls Metro Area,2000,0.04321425983624375
Buffalo-Niagara Falls Metro Area,2001,0.04820724720500535
Buffalo-Niagara Falls Metro Area,2002,0.05539070227497527
Buffalo-Niagara Falls Metro Area,2003,0.05869116551051998
Buffalo-Niagara Falls Metro Area,2004,0.05785100368350418
Buffalo-Niagara Falls Metro Area,2005,0.052500142702209034
Buffalo-Niagara Falls Metro Area,2006,0.0496728477956513
Buffalo-Niagara Falls Metro Area,2007,0.048190856019883245
Buffalo-Niagara Falls Metro Area,2008,0.059028762693595055
Buffalo-Niagara Falls Metro Area,2009,0.0833012450263124
Buffalo-Niagara Falls Metro Area,2010,0.0856096710449843
Buffalo-Niagara Falls Metro Area,2011,0.08199577691478523
Buffalo-Niagara Falls Metro Area,2012,0.0849607941029632
Buffalo-Niagara Falls Metro Area,2013,0.07587563020240401
Buffalo-Niagara Falls Metro Area,2014,0.0623671475736059
Buffalo-Niagara Falls Metro Area,2015,0.054837588234404995
Buffalo-Niagara Falls Metro Area,2016,0.05046660678673101
Buffalo-Niagara Falls Metro Area,2017,0.05842241061555473
Capital Region,1990,0.03780342220453641
Capital Region,1991,0.05804953560371517
Capital Region,1992,0.06199005760277756
Capital Region,1993,0.05259596166254859
Capital Region,1994,0.050766014540235264
Capital Region,1995,0.0502120307837286
Capital Region,1996,0.045901535838871084
Capital Region,1997,0.04251687485452712
Capital Region,1998,0.03791109112616873
Capital Region,1999,0.035703168772956484
Capital Region,2000,0.03551912568306011
Capital Region,2001,0.035800744878957166
Capital Region,2002,0.04170023867799754
Capital Region,2003,0.04369806408645769
Capital Region,2004,0.04348607636652336
Capital Region,2005,0.04035894393355088
Capital Region,2006,0.03896754423442403
Capital Region,2007,0.04011992934855209
Capital Region,2008,0.04991807116104869
Capital Region,2009,0.07050649866788349
Capital Region,2010,0.07458059539878666
Capital Region,2011,0.073401999394123
Capital Region,2012,0.07512685796398581
Capital Region,2013,0.06474441806653244
Capital Region,2014,0.051766250419808875
Capital Region,2015,0.045359725923106206
Capital Region,2016,0.0417938698253755
Capital Region,2017,0.04752658344891355
Carmel Town,1990,0.026250619118375434
Carmel Town,1991,0.04178957718780728
Carmel Town,1992,0.04829965500246427
Carmel Town,1993,0.04228121927236971
Carmel Town,1994,0.03734643734643735
Carmel Town,1995,0.031067961165048542
Carmel Town,1996,0.028530670470756064
Carmel Town,1997,0.02509124087591241
Carmel Town,1998,0.020695728753852928
Carmel Town,1999,0.022336769759450172
Carmel Town,2000,0.029329608938547486
Carmel Town,2001,0.03185595567867036
Carmel Town,2002,0.039532794249775384
Carmel Town,2003,0.03948535936113576
Carmel Town,2004,0.038545773105562856
Carmel Town,2005,0.035390591281829954
Carmel Town,2006,0.03568357695614789
Carmel Town,2007,0.03300043421623969
Carmel Town,2008,0.04432013769363167
Carmel Town,2009,0.0661990355107409
Carmel Town,2010,0.07215541165587419
Carmel Town,2011,0.07146215326751293
Carmel Town,2012,0.07403936269915651
Carmel Town,2013,0.06143667296786389
Carmel Town,2014,0.05019120458891013
Carmel Town,2015,0.04411764705882353
Carmel Town,2016,0.040172166427546625
Carmel Town,2017,0.04129793510324484
Cattaraugus County,1990,0.06461932181701856
Cattaraugus County,1991,0.09041439933026371
Cattaraugus County,1992,0.0993880565520152
Cattaraugus County,1993,0.08809626128061883
Cattaraugus County,1994,0.08239230447511502
Cattaraugus County,1995,0.07580543272267846
Cattaraugus County,1996,0.07031408308004053
Cattaraugus County,1997,0.07156901297679906
Cattaraugus County,1998,0.07191370355573312
Cattaraugus County,1999,0.07064238543125875
Cattaraugus County,2000,0.045454545454545456
Cattaraugus County,2001,0.05017265894779606
Cattaraugus County,2002,0.05589938111399481
Cattaraugus County,2003,0.057707509881422925
Cattaraugus County,2004,0.0599250936329588
Cattaraugus County,2005,0.05381875741986545
